Date;Volume
01/07/2022;30767551159
02/07/2022;18100418740
03/07/2022;16390821947
04/07/2022;21594638208
05/07/2022;26715546990
06/07/2022;24598943708
07/07/2022;25814972520
08/07/2022;49899834488
09/07/2022;29641127858
10/07/2022;28688807249
11/07/2022;24150249025
12/07/2022;25810220018
13/07/2022;33042430345
14/07/2022;31158743333
15/07/2022;25905575359
16/07/2022;24302954056
17/07/2022;22927802083
18/07/2022;39974475562
19/07/2022;48765202697
20/07/2022;42932549127
21/07/2022;33631012204
22/07/2022;31421555646
23/07/2022;24021799169
24/07/2022;23565495303
25/07/2022;35574561406
26/07/2022;28624673855
27/07/2022;31758955233
28/07/2022;40212386158
29/07/2022;35887249746
30/07/2022;28148218301
31/07/2022;23553591896
01/08/2022;25849159141
02/08/2022;28389250717
03/08/2022;26288169966
04/08/2022;25120229769
05/08/2022;28881249043
06/08/2022;15978259885
07/08/2022;15886817043
08/08/2022;28575544847
09/08/2022;23555719219
10/08/2022;32837431722
11/08/2022;37127036580
12/08/2022;27265804688
13/08/2022;22987346289
14/08/2022;22994133555
15/08/2022;35123501685
16/08/2022;27753685646
17/08/2022;30931623076
18/08/2022;23747613147
19/08/2022;40509610260
20/08/2022;27595671000
21/08/2022;23102307723
22/08/2022;31666498758
23/08/2022;31878280659
24/08/2022;31962253368
25/08/2022;31028679593
26/08/2022;42326789564
27/08/2022;30116729776
28/08/2022;24366810591
29/08/2022;32637854078
30/08/2022;34483360283
31/08/2022;33225232872
01/09/2022;30182031010
02/09/2022;29123998928
03/09/2022;23613051457
04/09/2022;25245861652
05/09/2022;28813460025
06/09/2022;43403978910
07/09/2022;35239757134
08/09/2022;32194477850
09/09/2022;48469528171
10/09/2022;36913738894
11/09/2022;34493951963
12/09/2022;50212088965
13/09/2022;51091116622
14/09/2022;37872380889
15/09/2022;36389011503
16/09/2022;30123362273
17/09/2022;24957448100
18/09/2022;31254779144
19/09/2022;40177002624
20/09/2022;36791346508
21/09/2022;46363793975
22/09/2022;41135767926
23/09/2022;38896078052
24/09/2022;26149643168
25/09/2022;23359966112
26/09/2022;44148798321
27/09/2022;58571439619
28/09/2022;53071298734
29/09/2022;41037843771
30/09/2022;43975248085
01/10/2022;18719537670
02/10/2022;20765955327
03/10/2022;30484729489
04/10/2022;35887278685
05/10/2022;33223790572
06/10/2022;34711412966
07/10/2022;29227315390
08/10/2022;16437423167
09/10/2022;16837262532
10/10/2022;27425022774
11/10/2022;28711532910
12/10/2022;24950173846
13/10/2022;44219840004
14/10/2022;38452356727
15/10/2022;16192235532
16/10/2022;17988916650
17/10/2022;27472552998
18/10/2022;30580012344
19/10/2022;22425387184
20/10/2022;24493974420
21/10/2022;32459287866
22/10/2022;16104440957
23/10/2022;22128794335
24/10/2022;30202235805
25/10/2022;47761524910
26/10/2022;58895950537
27/10/2022;49625110402
28/10/2022;43994715910
29/10/2022;40369840645
30/10/2022;31486345556
31/10/2022;45668466815
01/11/2022;39819303159
02/11/2022;55552169483
03/11/2022;43228750179
04/11/2022;64072727950
05/11/2022;37846047609
06/11/2022;35082693210
07/11/2022;53510852236
